name;title;category;address;city;state;phone;website;google_maps_url;rating;reviews_count;instagram
Fernando's Restaurante;Restaurante self-service;Restaurante self-service;Av. Dom Abel Ribeiro, 488 - 7330 - St. Central, Aparecida de Goiânia - GO, 74980-010, Brasil;Aparecida de Goiânia;GO;+556233001772;;https://www.google.com/maps/search/?api=1&query=Fernando's%20Restaurante&query_place_id=ChIJu6JQH4D8XpMRB70as0NeQ1o;4.5;1338;
Aquarius Restaurante - Jardim Luz;Restaurante;Restaurante;Avenida Albert Einstein, Quadra 10, Lote 05 s/n - Jardim da Luz, Goiânia - GO, 74850-320, Brasil;Aparecida de Goiânia;GO;+556232788668;http://www.restauranteaquarius.com.br/;https://www.google.com/maps/search/?api=1&query=Aquarius%20Restaurante%20-%20Jardim%20Luz&query_place_id=ChIJO92WfWjwXpMRyLAag8JDENI;4.5;7545;
Casa da Dona Clara Bistrô;Restaurante;Restaurante;R. Jota, 006 - 108 - Mansões Paraíso, Aparecida de Goiânia - GO, 74952-080, Brasil;Aparecida de Goiânia;GO;+556230853583;https://casa-da-dona-clara-bistr-1.goomer.app/menu;https://www.google.com/maps/search/?api=1&query=Casa%20da%20Dona%20Clara%20Bistr%C3%B4&query_place_id=ChIJN10kqSP6XpMRkyi0vaO5RNU;4.6;1609;
Restaurante Bom Gosto;Restaurante brasileiro;Restaurante brasileiro;R. Vicente Pasin, 178, Aparecida - SP, 12576-020, Brasil;Aparecida de Goiânia;GO;+5512996770093;https://www.facebook.com/bomgostobruno;https://www.google.com/maps/search/?api=1&query=Restaurante%20Bom%20Gosto&query_place_id=ChIJ0dgSu2_DzJQRxh93htStE1M;4.8;2899;
Casa da Picanha;Churrascaria;Churrascaria;Av. Dr. Antônio Gomes de Barros, 702 - Jatiúca, Maceió - AL, 57036-000, Brasil;Aparecida de Goiânia;GO;+558233555339;https://m.facebook.com/CasaDaPicanhaMaceio/;https://www.google.com/maps/search/?api=1&query=Casa%20da%20Picanha&query_place_id=ChIJ1d6SULpFAQcRx9N6kHder0U;4.2;3715;
Akuaba;Restaurante de frutos do mar;Restaurante de frutos do mar;R. Ferroviário Manoel Gonçalves Filho, 6 - Jatiúca, Maceió - AL, 57037-040, Brasil;Aparecida de Goiânia;GO;+558233256199;https://m.facebook.com/akuababr;https://www.google.com/maps/search/?api=1&query=Akuaba&query_place_id=ChIJ88n8EcpFAQcRpXmiR3dplKU;4.6;3426;
Picanha da Esquina;Restaurante;Restaurante;Av. Jataí, 7S - Sitios Santa Luzia, Aparecida de Goiânia - GO, 74922-390, Brasil;Aparecida de Goiânia;GO;+556232780471;;https://www.google.com/maps/search/?api=1&query=Picanha%20da%20Esquina&query_place_id=ChIJOxewX536XpMRDV3tvLZ_LLI;4.5;1927;
Panela Santa Restaurante;Restaurante brasileiro;Restaurante brasileiro;Av. da Paz, qd 155 - lt 04 - St. Garavelo, Aparecida de Goiânia - GO, 74930-570, Brasil;Aparecida de Goiânia;GO;+556239833247;;https://www.google.com/maps/search/?api=1&query=Panela%20Santa%20Restaurante&query_place_id=ChIJgU8l9in4XpMRb1JBemljMZw;4.3;1165;
D’Burguer na brasa;Hamburgueria;Hamburgueria;Av. Independência - St. Serra Dourada - 3ª Etapa, Aparecida de Goiânia - GO, 74973-744, Brasil;Aparecida de Goiânia;GO;+5562991953667;https://www.instagram.com/dburguernabrasaoficial?igsh=MTJsMjltZHRnM3VpOA%3D%3D&utm_source=qr;https://www.google.com/maps/search/?api=1&query=D%E2%80%99Burguer%20na%20brasa&query_place_id=ChIJa_6EERr5XpMRKMfeELhcxxI;4.2;105;https://www.instagram.com/dburguernabrasaoficial?igsh=mtjsmjltzhrnm3vpoa%3d%3d&utm_source=qr
RESTAURANTE SABOR DE CASA;Restaurante;Restaurante;Avenida Santa Rita, QD 13, LT 4, S/N - Jardim Olimpico, Aparecida de Goiânia - GO, 74922-200, Brasil;Aparecida de Goiânia;GO;+556235982519;;https://www.google.com/maps/search/?api=1&query=RESTAURANTE%20SABOR%20DE%20CASA&query_place_id=ChIJf-TTpZ76XpMRZwrUq1BtQmc;4.3;139;
Tapera do Paim Bar e Restaurante;Restaurante;Restaurante;Av. Curussá, Qd 34 - Lt 01 - Jardim Helvecia, Aparecida de Goiânia - GO, 74933-530, Brasil;Aparecida de Goiânia;GO;+5562991717486;;https://www.google.com/maps/search/?api=1&query=Tapera%20do%20Paim%20Bar%20e%20Restaurante&query_place_id=ChIJHakf8G_3XpMR0ZjN6RnxJj8;4.4;2355;
Restaurante Sabor da Roça Família Urcino;Restaurante;Restaurante;Av. Graça Aranha - Jardim Nova Era, Aparecida de Goiânia - GO, 74920-365, Brasil;Aparecida de Goiânia;GO;+5562991215143;;https://www.google.com/maps/search/?api=1&query=Restaurante%20Sabor%20da%20Ro%C3%A7a%20Fam%C3%ADlia%20Urcino&query_place_id=ChIJd0d_LwD7XpMRIsifr1QVQFw;4.8;24;
Restaurante Cristiane - Fogão à Lenha;Restaurante brasileiro;Restaurante brasileiro;Av. dos Colonizadores, Qd 108 - Lt 19 - Vila Brasilia, Aparecida de Goiânia - GO, 74905-270, Brasil;Aparecida de Goiânia;GO;+5562998159461;;https://www.google.com/maps/search/?api=1&query=Restaurante%20Cristiane%20-%20Fog%C3%A3o%20%C3%A0%20Lenha&query_place_id=ChIJx-IJY7PxXpMRbXb-xPfE-X4;4.5;555;
Restaurante Pimenta de Cheiro;Restaurante brasileiro;Restaurante brasileiro;Av. Independência, 742 - Serra dourada 3, Aparecida de Goiânia - GO, 74973-340, Brasil;Aparecida de Goiânia;GO;+556230948365;https://instagram.com/pimentadecheiro018;https://www.google.com/maps/search/?api=1&query=Restaurante%20Pimenta%20de%20Cheiro&query_place_id=ChIJfXJMtYj7XpMRhrCNCdFJ4DM;4.4;577;https://instagram.com/pimentadecheiro018
Jantinhas Grill - Bar e Restaurante;Bares;Bares;Av. Chile - Jardim Belo Horizonte, Aparecida de Goiânia - GO, 74976-030, Brasil;Aparecida de Goiânia;GO;+5562992078969;https://www.instagram.com/jantinhasgrilll_/;https://www.google.com/maps/search/?api=1&query=Jantinhas%20Grill%20-%20Bar%20e%20Restaurante&query_place_id=ChIJO8AtnnP9XpMRnjJYRYYMgI0;4.2;801;https://www.instagram.com/jantinhasgrilll_/
Restaurante Nobre Sabor;Restaurante;Restaurante;Av. da Alvorada, qd 11 - lt 19 - CRUZEIRODO SUL, Aparecida de Goiânia - GO, 74917-020, Brasil;Aparecida de Goiânia;GO;+556235766327;;https://www.google.com/maps/search/?api=1&query=Restaurante%20Nobre%20Sabor&query_place_id=ChIJQR9fRDz7XpMRJyquHwaNz2Q;4.7;46;
SUCULENTOS RESTAURANTE;Restaurante brasileiro;Restaurante brasileiro;Av. Rio Verde - Vila Rosa, Aparecida de Goiânia - GO, 74935-530, Brasil;Aparecida de Goiânia;GO;+5562985170446;;https://www.google.com/maps/search/?api=1&query=SUCULENTOS%20RESTAURANTE&query_place_id=ChIJaZDgXB73XpMRxJeZzATpb1Y;4.4;19;
Brasa e Cia;Restaurante;Restaurante;Av. Dom Fernando Gomes dos Santos, qd 8 - lt 9 - Cidade Livre, Aparecida de Goiânia - GO, 74970-110, Brasil;Aparecida de Goiânia;GO;+5562984356935;;https://www.google.com/maps/search/?api=1&query=Brasa%20e%20Cia&query_place_id=ChIJay4AfrL5XpMR-xa0XkCfjs0;4.9;15;
Restaurante Carvalho;Restaurante;Restaurante;Av. V-8, Qd 331 - lote 11 - Cidade Vera Cruz, Aparecida de Goiânia - GO, 74937-630, Brasil;Aparecida de Goiânia;GO;+5562991863496;;https://www.google.com/maps/search/?api=1&query=Restaurante%20Carvalho&query_place_id=ChIJr-LM6Kf5XpMRR5bewah6L7E;4.9;55;
Pesque Pague Duas Irmãs;Restaurante;Restaurante;Av. Maria Emília de Farias Neves - Porta Florada, Gravatá - PE, 55640-265, Brasil;Aparecida de Goiânia;GO;+5581991834824;https://www.instagram.com/pesquepagueduasirmas/;https://www.google.com/maps/search/?api=1&query=Pesque%20Pague%20Duas%20Irm%C3%A3s&query_place_id=ChIJWQnZuLBJqgcROPPru-YGq-k;4.7;61;https://www.instagram.com/pesquepagueduasirmas/
Lira Bistrô & Restaurante;Restaurante;Restaurante;Rua Senador Alberto Pasqualini, 60 - Estância, Recife - PE, 50781-745, Brasil;Aparecida de Goiânia;GO;+5581997728038;https://instagram.com/lirabistroerestaurante;https://www.google.com/maps/search/?api=1&query=Lira%20Bistr%C3%B4%20%26%20Restaurante&query_place_id=ChIJ43Kmq4MfqwcRRlpPWaZlLcs;5;459;https://instagram.com/lirabistroerestaurante
Lephant Gourmet;Restaurante;Restaurante;Av. São Paulo, 157 - Jardim São Paulo, Recife - PE, 50781-600, Brasil;Aparecida de Goiânia;GO;+558132512178;;https://www.google.com/maps/search/?api=1&query=Lephant%20Gourmet&query_place_id=ChIJbdTxwLweqwcRKWDDqhNtUYw;4.6;57;
Marô Restaurante;Restaurante;Restaurante;Av. Dr. Antônio Gouveia, 607 - Pajuçara, Maceió - AL, 57030-170, Brasil;Aparecida de Goiânia;GO;+5582991688472;https://www.instagram.com/maro.restaurante/;https://www.google.com/maps/search/?api=1&query=Mar%C3%B4%20Restaurante&query_place_id=ChIJ6zMm6UJFAQcR5iVGa0xdKHU;4.8;2757;https://www.instagram.com/maro.restaurante/
Ta na mesaD;Restaurante;Restaurante;Av. São Paulo, 149 - Jardim São Paulo, Recife - PE, 50781-600, Brasil;Aparecida de Goiânia;GO;+5581989754539;;https://www.google.com/maps/search/?api=1&query=Ta%20na%20mesaD&query_place_id=ChIJP9WepsgfqwcRGtYV_90JC0o;4.9;15;
Jardim do Pará;Restaurante;Restaurante;Praça do Jardim São Paulo, 185 - 01 - Jardim São Paulo, Recife - PE, 50781-760, Brasil;Aparecida de Goiânia;GO;+5581920019442;;https://www.google.com/maps/search/?api=1&query=Jardim%20do%20Par%C3%A1&query_place_id=ChIJtXkDJrseqwcRMLkF9OuFLzo;4.9;72;
Restaurante São Paulo;Restaurante;Restaurante;Av. Getúlio Vargas, 112 - Lages, Ibimirim - PE, 56580-000, Brasil;Aparecida de Goiânia;GO;+5587981192912;;https://www.google.com/maps/search/?api=1&query=Restaurante%20S%C3%A3o%20Paulo&query_place_id=ChIJfxyXxrsjCAcRWb9aN4WYGhU;4.2;227;
Kanjoy Cozinha Oriental Jardim São Paulo;Restaurante;Restaurante;R. Frei Atanásio, 444 - Jardim São Paulo, Recife - PE, 50781-530, Brasil;Aparecida de Goiânia;GO;+5581991460064;https://kanjoyorientaljsp.menudino.com/;https://www.google.com/maps/search/?api=1&query=Kanjoy%20Cozinha%20Oriental%20Jardim%20S%C3%A3o%20Paulo&query_place_id=ChIJ75ebNQcfqwcReW-rcduixPc;4.7;27;
Restaurante O Beco;Restaurante;Restaurante;R. Pref. Augusto de Barros Falcao, 129, São Miguel dos Milagres - AL, 57940-000, Brasil;Aparecida de Goiânia;GO;+5582996343633;https://sites.google.com/view/obecorestaurantesmm/p%C3%A1gina-inicial;https://www.google.com/maps/search/?api=1&query=Restaurante%20O%20Beco&query_place_id=ChIJxV--tmj9AAcR6vkOE4mYZNI;4.6;856;
Buca Trattoria;Restaurante italiano;Restaurante italiano;R. Santo Elías, 350 - Espinheiro, Recife - PE, 52020-090, Brasil;Aparecida de Goiânia;GO;+5581997507245;http://bucadelivery.com/;https://www.google.com/maps/search/?api=1&query=Buca%20Trattoria&query_place_id=ChIJwXcvRvAYqwcRjXTi1MX78hQ;4.7;783;
Micale;Restaurante italiano;Restaurante italiano;R. Durval Guimarães, 1298 - Ponta Verde, Maceió - AL, 57035-060, Brasil;Aparecida de Goiânia;GO;+5582996029997;https://hi.switchy.io/NtTY;https://www.google.com/maps/search/?api=1&query=Micale&query_place_id=ChIJ615wASVFAQcRvOIsKmUMQgE;4.9;2529;
Quintal do Zé;Restaurante;Restaurante;R. Felisberto de Ataíde, 126, São Miguel dos Milagres - AL, 57940-000, Brasil;Aparecida de Goiânia;GO;+5582993018686;https://quintaldoze.ola.click/;https://www.google.com/maps/search/?api=1&query=Quintal%20do%20Z%C3%A9&query_place_id=ChIJlbT9ILX9AAcRvO_jDmca4YI;4.9;1149;
Bode do Nô Boa Viagem - Restaurante;Restaurante;Restaurante;Rua Dr. João Guilherme Pontes Sobrinho, 245 - Boa Viagem, Recife - PE, 51021-090, Brasil;Aparecida de Goiânia;GO;+558134550912;https://bodedono.com.br/bdnboaviagem;https://www.google.com/maps/search/?api=1&query=Bode%20do%20N%C3%B4%20Boa%20Viagem%20-%20Restaurante&query_place_id=ChIJbwXvbbMfqwcRYAnbBxpNVyI;4.6;11888;
Restaurante No Quintal;Restaurante brasileiro;Restaurante brasileiro;R. do Campo, s/n - Praia do Toque, São Miguel dos Milagres - AL, 57940-000, Brasil;Aparecida de Goiânia;GO;+5582999107078;https://www.facebook.com/No-Quintal-Restaurante-Praia-do-Toque-181768048584244/;https://www.google.com/maps/search/?api=1&query=Restaurante%20No%20Quintal&query_place_id=ChIJaXjUDeP8AAcRFQTPgf41mJM;4.7;1669;
Restaurante Água de Coco;Restaurante;Restaurante;R. José Paulo da Silva - Encruzilhada de São João, Bezerros - PE, 55660-000, Brasil;Aparecida de Goiânia;GO;+5581994160542;;https://www.google.com/maps/search/?api=1&query=Restaurante%20%C3%81gua%20de%20Coco&query_place_id=ChIJ98uPD3IhqgcRYXczvYajjag;4.4;2122;
Bar e Restaurante Charque do Paulista;Restaurante;Restaurante;R. São Paulo, 122 - Maurício de Nassau, Caruaru - PE, 55012-000, Brasil;Aparecida de Goiânia;GO;+5581998734203;https://mechamenozap.com.br/charquedopaulista/;https://www.google.com/maps/search/?api=1&query=Bar%20e%20Restaurante%20Charque%20do%20Paulista&query_place_id=ChIJ-_wFaMeLqQcRl3rd6OQ0aAA;4.6;880;
Pizzaria e Restaurante dos Gêmeos;Pizzaria;Pizzaria;R. Leandro Barreto, 1309 - Jardim São Paulo, Recife - PE, 50910-220, Brasil;Aparecida de Goiânia;GO;+558132521111;;https://www.google.com/maps/search/?api=1&query=Pizzaria%20e%20Restaurante%20dos%20G%C3%AAmeos&query_place_id=ChIJD9MA37oeqwcRegUFCNTImi8;4.5;2102;
Restaurante Beijupirá;Restaurante de frutos do mar;Restaurante de frutos do mar;R. Beijupirá, 90 - Porto de Galinhas, Ipojuca - PE, 55590-000, Brasil;Aparecida de Goiânia;GO;+5581998578496;http://www.beijupira.com.br/;https://www.google.com/maps/search/?api=1&query=Restaurante%20Beijupir%C3%A1&query_place_id=ChIJXauF9yiSqgcROOrbKubQbrQ;4.5;4914;
Doca Bar E Restaurante;Restaurante self-service;Restaurante self-service;R. São Paulo, 190C - Vila Popular, Olinda - PE, 53230-241, Brasil;Aparecida de Goiânia;GO;+5581985242198;;https://www.google.com/maps/search/?api=1&query=Doca%20Bar%20E%20Restaurante&query_place_id=ChIJ9dzNKagiqwcR8m04_Bt69XE;4.7;486;
São Pedro Restaurante;Restaurante de frutos do mar;Restaurante de frutos do mar;Pátio de São Pedro, 33 - São José, Recife - PE, 50010-340, Brasil;Aparecida de Goiânia;GO;+5581982993333;https://www.instagram.com/saopedrorestaurante/;https://www.google.com/maps/search/?api=1&query=S%C3%A3o%20Pedro%20Restaurante&query_place_id=ChIJlVYKTLcYqwcRXsXUBwL6jxc;4.6;735;https://www.instagram.com/saopedrorestaurante/
Aconchego da Lila Restaurante;Restaurante;Restaurante;R. Santo Antônio, 1040 - Jardim Paulista, Paulista - PE, 53401-040, Brasil;Aparecida de Goiânia;GO;+5581986669968;https://aconchegodalilarestaurante.ola.click/products;https://www.google.com/maps/search/?api=1&query=Aconchego%20da%20Lila%20Restaurante&query_place_id=ChIJHRD2ROEXqwcRJLLVL4RrPqA;4.7;129;
Rancho da Carioca;Restaurante;Restaurante;BA-210, 3 - Prainha, Paulo Afonso - BA, 48609-505, Brasil;Aparecida de Goiânia;GO;+5575991591100;https://www.ranchodacarioca.com.br/;https://www.google.com/maps/search/?api=1&query=Rancho%20da%20Carioca&query_place_id=ChIJE2Nr-DQ3CQcRmV8DI-qYYRE;4.6;2775;
Budega do Chico Restaurante;Restaurante;Restaurante;PE-060 - Engenho São Paulo, Ipojuca - PE, 55590-000, Brasil;Aparecida de Goiânia;GO;+5581984316482;https://www.instagram.com/budega_do_chico?igsh=ZG5tYWpwOTUxc3Ay;https://www.google.com/maps/search/?api=1&query=Budega%20do%20Chico%20Restaurante&query_place_id=ChIJ0UZH83aPqgcRArgIvyftiOg;4.9;74;https://www.instagram.com/budega_do_chico?igsh=zg5tywpwotuxc3ay
Ilha dos Navegantes;Restaurante de frutos do mar;Restaurante de frutos do mar;R. dos Navegantes, 2055 - Boa Viagem, Recife - PE, 51020-011, Brasil;Aparecida de Goiânia;GO;+558133265317;;https://www.google.com/maps/search/?api=1&query=Ilha%20dos%20Navegantes&query_place_id=ChIJAczxeKYfqwcRzRfunVaHp0c;4.5;3565;
Restaurante Empório Prime;Restaurante;Restaurante;Av. Ayrton Senna da Silva, 190 - Piedade, Jaboatão dos Guararapes - PE, 54420-190, Brasil;Aparecida de Goiânia;GO;+558134784214;https://www.instagram.com/emporioprime1;https://www.google.com/maps/search/?api=1&query=Restaurante%20Emp%C3%B3rio%20Prime&query_place_id=ChIJv24jOwnhqgcRrXhp_kgBLL0;4.7;1238;https://www.instagram.com/emporioprime1
Granja Muito Tudo;Restaurante de frango;Restaurante de frango;Av. São Paulo, 441 - Jardim São Paulo, Recife - PE, 50781-600, Brasil;Aparecida de Goiânia;GO;+558132530521;;https://www.google.com/maps/search/?api=1&query=Granja%20Muito%20Tudo&query_place_id=ChIJnRhTNbseqwcRIPVKOE36Zb8;4.5;66;
Danado de Bom;Restaurante self-service;Restaurante self-service;Galeria San Remo - Av. São Paulo, 219 - loja 04 - Jardim São Paulo, Recife - PE, 50781-600, Brasil;Aparecida de Goiânia;GO;+5581986834089;;https://www.google.com/maps/search/?api=1&query=Danado%20de%20Bom&query_place_id=ChIJKRfYu7weqwcR9uYG9m1yknI;4;7;
Restaurante Sabor de Maragogi;Restaurante;Restaurante;Peroba - Rod AL 101 Norte, Maragogi - AL, 57955-000, Brasil;Aparecida de Goiânia;GO;+5582993475940;https://www.instagram.com/sabordmaragogi/;https://www.google.com/maps/search/?api=1&query=Restaurante%20Sabor%20de%20Maragogi&query_place_id=ChIJTSjq9tNjAAcR0Dr61azSHR4;4.4;1789;https://www.instagram.com/sabordmaragogi/
